IMb,IMb Serial Number,Scan DateTime,Scan Event Code,Scan Facility ZIP,Mail Phase,Expected Delivery Date,Anticipated Delivery Date
0027020014600276412033417130740,002764120,2020-09-01 19:32:15-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275786028207275377,002757860,2020-09-01 19:50:02-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276052247150961112,002760522,2020-09-01 19:50:51-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276024232068700406,002760242,2020-09-01 19:51:23-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602078516794037132323,020785167,2020-09-01 20:36:29-0700,896,94188,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602231982880216272045,022319828,2020-09-01 18:57:08-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600276958377072420903,002769583,2020-09-01 19:40:06-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602257423131021402915,022574231,2020-09-01 21:08:00-0400,896,31213,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600276377302874331662,002763773,2020-09-01 19:32:57-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0031120014602137518775503,021375187,2020-09-01 22:41:46-0500,896,71102,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602095467508021304622,020954675,2020-09-01 20:06:28-0400,481,08031,Phase 1a - Origin Primary Processing,,
0027120014602250273095321940531,022502730,2020-09-01 16:34:33-0700,896,95799,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602206500633076261317,022065006,2020-09-01 16:34:06-0400,893,33152,Phase 2a - Destination MMP Processing,2020-09-03,
0027120014602130682583552509342,021306825,2020-09-01 18:41:53-0700,896,99224,Phase 3a - Destination Secondary Processing,,2020-09-02
0031020014600275926716673,002759267,2020-09-01 19:50:42-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-02,
0027020014600275961211210322215,002759612,2020-09-01 19:41:34-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0031120014602073119993020,020731199,2020-09-01 20:34:35-0700,896,93199,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602154631094044443847,021546310,2020-09-01 20:36:42-0700,896,94188,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602129603394044415635,021296033,2020-09-01 20:40:21-0700,896,94188,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600276015029579829579,002760150,2020-09-01 19:51:34-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602257431831027344309,022574318,2020-09-01 21:07:58-0400,896,31213,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602206557933334291602,022065579,2020-09-01 23:29:12-0400,896,33152,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602263615899163243990,022636158,2020-09-01 20:29:58-0700,896,99224,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600276273643235149137,002762736,2020-09-01 19:01:30-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602264838293527154343,022648382,2020-09-01 16:01:37-0700,484,93380,Phase 2b - Destination SCF Processing,,
0027020014600276813013862182419,002768130,2020-09-01 19:02:14-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602129462186520432020,021294621,2020-09-01 15:40:17-0600,894,87101,Phase 2b - Destination SCF Processing,,
0027120014600202845871743181900,002028458,2020-09-01 15:35:58-0500,896,72231,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602130101195629007575,021301011,2020-09-01 17:49:27-0700,896,95799,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602206999233161704202,022069992,2020-09-01 16:39:17-0400,893,33152,Phase 2a - Destination MMP Processing,2020-09-03,
0027120014602167329494541500470,021673294,2020-09-01 18:36:11-0700,891,95799,Phase 1a - Origin Primary Processing,,
0027120014602265977332461962636,022659773,2020-09-01 22:32:05-0500,896,32522,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600275893585395266740,002758935,2020-09-01 19:49:32-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275896087031843816,002758960,2020-09-01 19:49:20-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602154631694044380453,021546316,2020-09-01 20:36:28-0700,896,94188,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602243077394019260611,022430773,2020-09-01 20:36:45-0700,896,94188,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600276888597535011515,002768885,2020-09-01 19:33:29-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275896886429584073,002758968,2020-09-01 19:49:02-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602181067401247223737,021810674,2020-09-01 19:07:04-0400,894,06101,Phase 2b - Destination SCF Processing,2020-09-04,
0027120014602117941993021255374,021179419,2020-09-01 20:34:01-0700,896,93199,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602168240999164000100,021682409,2020-09-01 20:30:58-0700,896,99224,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602154538887581970116,021545388,2020-09-01 15:39:31-0600,894,87101,Phase 2b - Destination SCF Processing,,
0027020014600276640127712254922,002766401,2020-09-01 19:42:13-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602257424731021563903,022574247,2020-09-01 21:07:59-0400,896,31213,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602167130494044432772,021671304,2020-09-01 20:40:36-0700,896,94188,Phase 3a - Destination Secondary Processing,,2020-09-02
0031120014602266345693063,022663456,2020-09-01 20:34:35-0700,896,93199,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602123963732461700681,021239637,2020-09-01 22:32:08-0500,896,32522,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600276403228001787156,002764032,2020-09-01 19:32:26-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602231937680120425186,022319376,2020-09-01 19:09:38-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602151153148185320871,021511531,2020-09-01 16:48:21-0500,481,47711,Phase 1a - Origin Primary Processing,,
0027120014602079129196062021616,020791291,2020-09-01 18:32:31-0700,894,96049,Phase 2b - Destination SCF Processing,,
0027020014600276017228785276527,002760172,2020-09-01 19:51:31-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275924298338048484,002759242,2020-09-01 19:49:23-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276018730047524592,002760187,2020-09-01 19:51:30-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602106308778132225502,021063087,2020-09-01 19:52:54-0500,891,75099,Phase 1a - Origin Primary Processing,,
0027020014600276169606050255757,002761696,2020-09-01 19:31:14-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275772122182504736,002757721,2020-09-01 19:49:49-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602231921080113714627,022319210,2020-09-01 19:18:07-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600275773622205232245,002757736,2020-09-01 19:49:48-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602086009433928772448,020860094,2020-09-01 16:40:52-0400,893,33913,Phase 2a - Destination MMP Processing,,
0027120014602250513695669862691,022505136,2020-09-01 16:58:08-0700,896,95799,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602231933280120261615,022319332,2020-09-01 19:09:43-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600275885078738766224,002758850,2020-09-01 19:49:42-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602141645284105202948,021416452,2020-09-01 23:30:06-0400,481,40231,Phase 1a - Origin Primary Processing,,
0027120014602236057490026489061,022360574,2020-09-01 20:07:37-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602133657990293752337,021336579,2020-09-01 19:51:57-0700,896,90052,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602258503937398530288,022585039,2020-09-01 22:04:53-0500,891,35203,Phase 1a - Origin Primary Processing,,
0027020014600276015229585647890,002760152,2020-09-01 19:51:34-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602250287395338044040,022502873,2020-09-01 15:50:16-0700,896,95799,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602236057190026453606,022360571,2020-09-01 20:07:37-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602128875180202116951,021288751,2020-09-01 19:00:21-0500,481,74141,Phase 1a - Origin Primary Processing,,
0027120014602165028763114630323,021650287,2020-09-01 20:00:38-0400,481,46802,Phase 1a - Origin Primary Processing,,
0027120014602243194394108235081,022431943,2020-09-01 13:13:33-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602243335295410012323,022433352,2020-09-01 13:19:24-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027020014600275774922310207110,002757749,2020-09-01 19:50:05-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602236051590026253709,022360515,2020-09-01 20:07:35-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027020014600275767821601252018,002757678,2020-09-01 19:49:54-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602103834860463188511,021038348,2020-09-01 16:18:42-0500,891,53201,Phase 1a - Origin Primary Processing,,
0027120014602236041190026221714,022360411,2020-09-01 20:07:41-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602077804280218340843,020778042,2020-09-01 18:30:27-0600,481,80266,Phase 1a - Origin Primary Processing,,
0027120014602236057790026510747,022360577,2020-09-01 20:07:34-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602236057390026630603,022360573,2020-09-01 20:07:37-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027020014600275878476113341919,002758784,2020-09-01 19:49:46-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602069168690212500360,020691686,2020-09-01 20:06:52-0700,896,90052,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602236056790026352045,022360567,2020-09-01 20:07:36-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602243117794040294936,022431177,2020-09-01 12:53:24-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602139525561008342061,021395255,2020-09-01 22:09:55-0500,004,60199,Phase 0 - Origin Processing Cancellation of Postage,,
0027120014602231893680110623525,022318936,2020-09-01 19:09:13-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602236041390026432563,022360413,2020-09-01 20:07:41-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027020014600275906192124341205,002759061,2020-09-01 19:49:17-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602220047355011940960,022200473,2020-09-01 14:27:00-0500,893,55121,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602091794097386343895,020917940,2020-09-01 18:42:51-0700,896,97215,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602179760004219005757,021797600,2020-09-01 23:13:21-0400,481,04074,Phase 1a - Origin Primary Processing,,
0027120014602243262894305749807,022432628,2020-09-01 13:23:10-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602232086280435770887,022320862,2020-09-01 16:48:58-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602153997580537232376,021539975,2020-09-01 19:10:14-0600,896,80266,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602139096054760040404,021390960,2020-09-01 21:08:00-0500,891,55121,Phase 1a - Origin Primary Processing,,
0027020014600276233728348279899,002762337,2020-09-01 19:16:46-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602236056990026163701,022360569,2020-09-01 20:07:36-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027020014600276695692706251335,002766956,2020-09-01 19:44:38-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275953908034151683,002759539,2020-09-01 19:41:43-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602231924980113289577,022319249,2020-09-01 19:18:03-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602236041690026212654,022360416,2020-09-01 20:07:40-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027020014600275858361081160301,002758583,2020-09-01 19:45:10-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275895385737913525,002758953,2020-09-01 19:49:20-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602236041490026552525,022360414,2020-09-01 20:07:41-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014600186216976014275107,001862169,2020-09-01 19:02:55-0500,891,75099,Phase 1a - Origin Primary Processing,,
0027120014602128695078629335053,021286950,2020-09-01 21:00:20-0500,891,77315,Phase 1a - Origin Primary Processing,,
0027120014602236057090026423881,022360570,2020-09-01 20:07:37-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602236050990026673982,022360509,2020-09-01 20:07:39-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602236049690026624245,022360496,2020-09-01 20:07:38-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602236041890026301816,022360418,2020-09-01 20:07:40-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602243372395482423621,022433723,2020-09-01 13:22:25-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602259823072585886005,022598230,2020-09-01 19:42:56-0500,896,72231,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602236049990026125129,022360499,2020-09-01 20:07:34-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602236057590026442746,022360575,2020-09-01 20:07:37-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602181061601240258554,021810616,2020-09-01 19:07:10-0400,894,06101,Phase 2b - Destination SCF Processing,2020-09-04,
0027020014600276047137359512480,002760471,2020-09-01 19:50:56-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276043535630144728,002760435,2020-09-01 19:51:01-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276383610704272433,002763836,2020-09-01 19:32:50-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602236057290026685814,022360572,2020-09-01 20:07:37-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602232261281147764949,022322612,2020-09-01 18:48:20-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602236049590026613968,022360495,2020-09-01 20:07:38-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027020014600276092975437360291,002760929,2020-09-01 19:45:51-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600275756520036482525,002757565,2020-09-01 19:50:25-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0031120014602266186504969,022661865,2020-09-01 19:50:03-0400,896,04444,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602236051790026403220,022360517,2020-09-01 20:07:34-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027120014602243194894108223173,022431948,2020-09-01 13:13:33-0700,894,94188,Phase 2b - Destination SCF Processing,,
0027120014602243307894973096363,022433078,2020-09-01 13:09:30-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602231936280120420649,022319362,2020-09-01 19:09:40-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602236051290026144155,022360512,2020-09-01 20:07:35-0700,481,90052,Phase 1a - Origin Primary Processing,,
0027020014600276103380005238674,002761033,2020-09-01 19:45:54-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602114749763114304309,021147497,2020-09-01 20:00:36-0400,481,46802,Phase 1a - Origin Primary Processing,,
